Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Copper,treatment of copper scrap by electrolytic refining,FI,Total EQ,PDF.m2.yr,1.4367449789003303e-05,3.6509079079357726e-05
Copper,treatment of copper scrap by electrolytic refining,PE,Total EQ,PDF.m2.yr,1.2589227272915562e-05,3.199044373251755e-05
Copper,"copper production, cathode, solvent extraction and electrowinning process",JP,Total EQ,PDF.m2.yr,1.2316075192314506e-05,3.129633788507705e-05
Copper,"platinum group metal mine operation, ore with high palladium content",ZA,Total EQ,PDF.m2.yr,1.2007245497013255e-05,3.051157176907244e-05
Copper,gold mine operation and refining,KR,Total EQ,PDF.m2.yr,9.963922932255458e-06,2.5319291566466377e-05
Copper,treatment of copper scrap by electrolytic refining,AU,Total EQ,PDF.m2.yr,9.482852883869542e-06,2.4096846059632263e-05
Copper,primary zinc production from concentrate,BR,Total EQ,PDF.m2.yr,7.575363083932902e-06,1.9249730045887266e-05
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",CL,Total EQ,PDF.m2.yr,7.357180044300474e-06,1.869530584641578e-05
Copper,primary zinc production from concentrate,DE,Total EQ,PDF.m2.yr,6.909085694685197e-06,1.7556654778524877e-05
Copper,"platinum group metal, extraction and refinery operations",KR,Total EQ,PDF.m2.yr,6.533504785048389e-06,1.6602267372826585e-05
Copper,treatment of copper cake,KR,Total EQ,PDF.m2.yr,6.304725724733937e-06,1.602091766028996e-05
Copper,treatment of copper scrap by electrolytic refining,AT,Total EQ,PDF.m2.yr,5.191788499637599e-06,1.3192836563218528e-05
Copper,"platinum group metal mine operation, ore with high palladium content",BE,Total EQ,PDF.m2.yr,4.8493610346374164e-06,1.2322695265894883e-05
Copper,treatment of copper scrap by electrolytic refining,CN,Total EQ,PDF.m2.yr,4.471922946953589e-06,1.1363588591211572e-05
Copper,"electrorefining of copper, anode",SG,Total EQ,PDF.m2.yr,4.2554000952235565e-06,1.0813383089720956e-05
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",MX,Total EQ,PDF.m2.yr,3.3943700384852033e-06,8.625422463944157e-06
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",RoW,Total EQ,PDF.m2.yr,2.985589223161906e-06,7.58667088785127e-06
Copper,"platinum group metal mine operation, ore with high palladium content",KR,Total EQ,PDF.m2.yr,2.1690037114826067e-06,5.511648148340761e-06
Copper,treatment of copper scrap by electrolytic refining,JP,Total EQ,PDF.m2.yr,1.8256539568996483e-06,4.639163224012593e-06
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",ZM,Total EQ,PDF.m2.yr,1.4979303427601312e-06,3.806385833417475e-06
Copper,gold mine operation and refining,FI,Total EQ,PDF.m2.yr,1.4776674907425197e-06,3.75489596725831e-06
Copper,cobalt production,ZA,Total EQ,PDF.m2.yr,1.4630822597552367e-06,3.717833485097211e-06
Copper,cobalt production,BE,Total EQ,PDF.m2.yr,1.379248598019635e-06,3.504804044885781e-06
Copper,primary zinc production from concentrate,ZA,Total EQ,PDF.m2.yr,1.3727035827277623e-06,3.4881725282021815e-06
Copper,gold mine operation and refining,PE,Total EQ,PDF.m2.yr,1.276206044596578e-06,3.2429629536198336e-06
Copper,"copper production, cathode, solvent extraction and electrowinning process",SG,Total EQ,PDF.m2.yr,1.2107913431650725e-06,3.0767378724406154e-06
Copper,"platinum group metal, extraction and refinery operations",FI,Total EQ,PDF.m2.yr,1.0414275883085292e-06,2.646368195842397e-06
Copper,gold mine operation and refining,AU,Total EQ,PDF.m2.yr,1.0061192873166378e-06,2.5566463891194412e-06
Copper,treatment of copper cake,FI,Total EQ,PDF.m2.yr,9.167923872598848e-07,2.3296580992016295e-06
Copper,"platinum group metal, extraction and refinery operations",PE,Total EQ,PDF.m2.yr,9.128048590516426e-07,2.319525404476828e-06
Copper,treatment of copper cake,PE,Total EQ,PDF.m2.yr,8.965833765398472e-07,2.278305048985428e-06
Copper,"platinum group metal, extraction and refinery operations",AU,Total EQ,PDF.m2.yr,6.418383164385311e-07,1.6309732203798256e-06
Copper,treatment of copper cake,AU,Total EQ,PDF.m2.yr,6.287706213362133e-07,1.5977669436305159e-06
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",BR,Total EQ,PDF.m2.yr,6.203724689911318e-07,1.576426426517886e-06
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",DE,Total EQ,PDF.m2.yr,5.671309412616644e-07,1.4411345567200388e-06
Copper,gold mine operation and refining,AT,Total EQ,PDF.m2.yr,5.297528128505776e-07,1.3461531183966392e-06
Copper,primary zinc production from concentrate,BE,Total EQ,PDF.m2.yr,5.021652565633989e-07,1.276050470474686e-06
Copper,gold mine operation and refining,CN,Total EQ,PDF.m2.yr,4.640753271222635e-07,1.1792602769110417e-06
Copper,cobalt production,KR,Total EQ,PDF.m2.yr,3.8027586105798076e-07,9.663177312067572e-07
Copper,"platinum group metal, extraction and refinery operations",AT,Total EQ,PDF.m2.yr,3.7478475062245005e-07,9.5236428866348e-07
