REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,All other metal ore mining [212299],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,All other metal ore mining [212299],"Diesel fuel, quantity purchased (litres)",Litres,12397944.0
2019,Canada,All other metal ore mining [212299],"Light Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,All other metal ore mining [212299],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,All other metal ore mining [212299],"Propane, quantity purchased (litres)",Litres,
2019,Canada,All other metal ore mining [212299],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,All other metal ore mining [212299],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,
2019,Canada,All other metal ore mining [212299],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,All other metal ore mining [212299],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,All other metal ore mining [212299],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Natural gas, quantity purchased (cubic metres)",Cubic metres,1181026266.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Gasoline - aviation, quantity purchased (litres)",Litres,
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Gasoline - motor, quantity purchased (litres)",Litres,6711772.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Diesel fuel, quantity purchased (litres)",Litres,221970665.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Light Fuel Oil, quantity purchased (litres)",Litres,2120357.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Heavy Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Propane, quantity purchased (litres)",Litres,2113497.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,2668265026.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,"Non-metallic mineral mining (excluding aggregates, clay and refractory mineral mining and quarrying) [2123]","Water, quantity purchased (litres)",Litres,11003800562.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Natural gas, quantity purchased (cubic metres)",Cubic metres,1181026266.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Gasoline - aviation, quantity purchased (litres)",Litres,
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Gasoline - motor, quantity purchased (litres)",Litres,6711772.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Diesel fuel, quantity purchased (litres)",Litres,221970665.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Light Fuel Oil, quantity purchased (litres)",Litres,2120357.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Heavy Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Propane, quantity purchased (litres)",Litres,2113497.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,2668265026.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Other non-metallic mineral mining and quarrying [21239],"Water, quantity purchased (litres)",Litres,11003800562.0
2019,Canada,Diamond mining [212392],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Diamond mining [212392],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Diamond mining [212392],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Diamond mining [212392],"Natural gas, quantity purchased (cubic metres)",Cubic metres,
2019,Canada,Diamond mining [212392],"Gasoline - aviation, quantity purchased (litres)",Litres,
2019,Canada,Diamond mining [212392],"Gasoline - motor, quantity purchased (litres)",Litres,0.0
2019,Canada,Diamond mining [212392],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Diamond mining [212392],"Diesel fuel, quantity purchased (litres)",Litres,
2019,Canada,Diamond mining [212392],"Light Fuel Oil, quantity purchased (litres)",Litres,0.0
