Commodity,Deposit Type,Count,Countries
Tellurium; Platinum-Group Elements,"Magmatic Cu-Ni-PGM Sulfide; Reef, sulfide",1,United States of America
Tellurium; Rhenium,Porphyry Cu-(Mo-Au),1,United States of America
Tin,Hydrothermal,14,"Czech Republic, Germany, Russia, Somalia, United Kingdom"
Tin,Igneous,9,"Burma, China, Kazakhstan, Kyrgyzstan, Russia, Tajikistan"
Tin,Metamorphic,1,China
Tin,Sedimentary,1,China
Tin,Surficial,13,"Brazil, China, Congo (Kinshasa), Laos, Malaysia, Thailand"
Tin,Unclassified,4,"Congo (Kinshasa), Swaziland"
Tin,Banded Ag-Cu-Sn-Pb-Zn tabular replacement bodies,1,United States of America
Tin,Deposit type unclassified,7,United States of America
Tin,Hydrothermal,62,"Argentina, Australia, Bolivia, Canada, China, Czech Republic, Germany, Japan, Kazakhstan, Malaysia, Mongolia, Morocco, Myanmar, Namibia, Peru, Portugal, Russia, South Africa, Spain, Thailand, United Kingdom, United States of America"
Tin,Hydrothermal and placer/alluvial,7,"Australia, Brazil, Malaysia"
Tin,Hydrothermal; Felsic and intermediate intrusion-associated,1,China
Tin,Placer/alluvial,17,"Bolivia, Brazil, Democratic Republic of the Congo, Germany, Indonesia, Malaysia, Myanmar, Nigeria, Thailand"
Tin,Plutonic related mesothermal sn veins,1,United States of America
Tin,Sn greisen,1,United States of America
Tin,Sn polymetallic,3,United States of America
Tin,Sn-polymetallic vein or polymetallic vein,1,United States of America
Tin,Tailings,5,"Australia, Bolivia, Indonesia, Peru"
"Tin, Columbium (Niobium)",Igneous,1,Nigeria
"Tin, Columbium (Niobium), Tantalum",Igneous,1,Namibia
"Tin, Columbium (Niobium), Tantalum",Surficial,2,Congo (Kinshasa)
"Tin, Columbium (Niobium), Tungsten,Tantalum",Surficial,1,Nigeria
"Tin, Copper",Hydrothermal,1,South Africa
"Tin, copper",Hydrothermal,1,Peru
"Tin, Gold, Tungsten, Columbium (Niobium), Tantalum",Surficial,1,Congo (Kinshasa)
"Tin, Iron, Copper, Lead",Igneous,1,South Africa
"Tin, Molybdenum, Columbium (Niobium)",Igneous,1,Congo (Kinshasa)
"Tin, silver",Hydrothermal,1,Bolivia
"Tin, Tantalum, Tungsten, Columbium(Niobium)",Igneous,1,Zimbabwe
"Tin, Tungsten",Hydrothermal,1,Tanzania
"Tin, Tungsten",Igneous,1,Namibia
"Tin, tungsten",Hydrothermal,4,Bolivia
"Tin, Tungsten, Columbium (Niobium), Tantalum, Lithium, Gold)",Igneous,1,Congo (Kinshasa)
"Tin, zinc",Hydrothermal,3,Bolivia
"Tin, Zinc, Tungsten, Copper",Hydrothermal,1,South Africa
Tin; Beryllium,Hydrothermal; Non-pegmatite,1,Australia
Tin; Niobium and Tantalum,Hydrothermal and placer/alluvial; Rare-metal granite,1,Egypt
Titanium,Igneous,9,"Chile, Egypt, Finland, Norway, Romania, Russia"
Titanium,Metamorphic,1,Italy
Titanium,Surficial,11,"Kazakhstan, Madagascar, Romania, Sierra Leone, Ukraine"
Titanium,Albititic/metasomatized,2,"Norway, United States of America"
Titanium,Albititic/metasomatized; Weathered anorthositic rocks,1,United States of America
Titanium,Alkalic/metasomatized,1,United States of America
Titanium,Amphibolite-hosted,1,China
Titanium,Anorthosite-gabbro,1,United States of America
Titanium,Beach (strandline) and (or) coastal dune,2,"Australia, United States of America"
Titanium,Eclogite-hosted,2,"Italy, Norway"
Titanium,Fluvial,2,United States of America
Titanium,Greenschist-hosted,1,United States of America
Titanium,Layered mafic intrusion,1,China
Titanium,Lithified paleo-placers (fluvial and [or] beach),2,"South Africa, United States of America"
Titanium,Magmatic deposits in igneous and related rocks,17,"Armenia, Brazil, Canada, China, Mexico, Norway, Russia, United States of America"
Titanium,Metamorphic,3,"Chile, Kazakhstan, United States of America"
Titanium,Metasomatized aluminum-rich schist,3,United States of America
Titanium,Sedimentary related,54,"Australia, Bangladesh, Brazil, Canada, China, India, Madagascar, New Zealand, Russia, South Africa, Ukraine, United States of America"
Titanium,Troctolite/ultramafic,1,United States of America
Titanium,Weathered alkalic rocks,2,Brazil
"Titanium, iron",Igneous,1,Canada
"Titanium, Iron, Vanadium",Igneous,1,Tanzania
"Titanium, Iron, Zirconium",Surficial,1,Egypt
"Titanium, iron, zirconium, garnet",Surficial,1,Canada
"titanium, magnetite",Igneous,1,United States
"Titanium, phosphate",Igneous,1,Brazil
"Titanium, REE",Surficial,3,"Egypt, Madagascar, Mozambique"
"Titanium, REE, Zirconium",Surficial,1,Madagascar
"Titanium, Zirconium",Surficial,13,"Egypt, Kenya, Madagascar, Mozambique, Namibia, Sierra Leone, The Gambia"
"titanium, zirconium, garnet, gold, rare earth elements",Surficial,1,United States
"titanium, zirconium, garnet, niobium, rare earth elements",Surficial,1,United States
"Titanium, Zirconium, Iron",Surficial,2,South Africa
"Titanium, Zirconium, Iron, REE",Surficial,1,South Africa
"titanium, zirconium, rare earth elements",Surficial,12,United States
"Titanium, Zirconium, REE",Surficial,3,"Mozambique, South Africa"
"Titanium, Zirconium, REE, Iron",Surficial,1,South Africa
Titanium; Vanadium,Layered mafic intrusion; Vanadiferous Titanomagnetite,1,Canada
Titanium; Vanadium,Magmatic deposits in igneous and related rocks; Vanadiferous Titanomagnetite,1,Finland
Titanium; Vanadium,Massif anorthosite; Vanadiferous Titanomagnetite,2,"Canada, Norway"
Titanium; Vanadium,Vanadiferous Titanomagnetite; Magmatic deposits in igneous and related rocks,1,Australia
Titanium; Zirconium and Hafnium,Beach (strandline) and (or) coastal dune; Coastal placer or paleoplacer,1,United States of America
Titanium; Zirconium and Hafnium,Coastal placer or paleoplacer,6,"Australia, Madagascar, Mozambique, Senegal, Sierra Leone, South Africa"
Titanium; Zirconium and Hafnium; Manganese,Sedimentary related; Coastal placer or paleoplacer; Secondary enrichment,1,India
Titanium-vanadium-iron,Igneous,1,China
Titanium-zirconium-REE,Surficial,24,"Australia, Bangladesh, India, New Zealand, Sri Lanka, Vietnam"
Tourmaline,Gemstone,1,Afghanistan
Tungsten,Hydrothermal,31,"Bolivia, China, France, Kazakhstan, Russia, South Africa, Spain, Sweden, United Kingdom, Uzbekistan"
Tungsten,Igneous,11,"China, Kazakhstan, Kyrgyzstan, Tajikistan, Uganda"
Tungsten,Metamorphic,3,China
Tungsten,Sedimentary,2,"Austria, Finland"
Tungsten,Unclassified,2,South Africa
"Tungsten, copper",Hydrothermal,1,Canada
"Tungsten, molybdenum",Hydrothermal,1,Canada
"Tungsten, Tin",Igneous,3,"Algeria, Congo (Kinshasa), Namibia"
"Tungsten, Tin",Unclassified,1,South Africa
Tungsten-molybdenum,Igneous,2,Mongolia
Uranium,Hydrothermal,1,Gabon
Uranium,Igneous,1,Namibia
Uranium,Sedimentary,2,"Korean Peninsula, Mongolia"
"Uranium, Gold",Surficial,1,South Africa
"Uranium, Gold, Silver",Surficial,1,South Africa
"Uranium, Iron",Unclassified,1,Liberia
"Uranium, Nickel, Cobalt, Gold, PGE, Molybdenum",Hydrothermal,1,Congo (Kinshasa)
"Uranium, Vanadium, Molybdenum",Hydrothermal,1,Niger
Uranium-gold,Sedimentary,1,Australia
Vanadium,Hydrothermal,1,Kazakhstan
Vanadium,Igneous,1,Finland
Vanadium,Sedimentary,3,"Kazakhstan, Mongolia"
Vanadium,Sandstone-Hosted V,5,United States of America
Vanadium,Shale-Hosted V,10,"Australia, Canada, China, Madagascar, Sweden, United States of America"
Vanadium,Vanadate,5,"Angola, Namibia, South Africa, Zambia, Zimbabwe"
Vanadium,Vanadiferous Titanomagnetite,54,"Australia, Azerbaijan, Brazil, Canada, China, Finland, India, Iran, Norway, Russia, South Africa, Sweden, United States of America"
"Vanadium, Iron, Titanium",Igneous,1,South Africa
"Vanadium, Lead",Unclassified,1,Angola
"Vanadium, Lead, Zinc",Unclassified,1,Morocco
"vanadium, phosphate rock",Sedimentary,1,United States
"Vanadium, Zinc, Lead, Copper, Silver",Hydrothermal,1,Namibia
Vanadium; Titanium,Vanadiferous Titanomagnetite; Magmatic deposits in igneous and related rocks,2,"Russia, United States of America"
Vermiculite,Surficial,2,Kazakhstan
vermiculite,Igneous,2,United States
Wollastonite,Metamorphic,3,Mexico
wollastonite,Metamorphic,5,"China, India, United States"
"wollastonite, garnet",Metamorphic,1,United States
Zeolite,Igneous,1,Mongolia
Zeolite,Unclassified,1,Mongolia
zeolite,Sedimentary,4,United States
zeolite,Unclassified,2,United States
Zinc,Hydrothermal,34,"Algeria, Brazil, China, Finland, Kazakhstan, Portugal, Russia, Spain, Sweden, Thailand"
Zinc,Sedimentary,12,"Austria, France, Germany, Ireland, Italy, Kalaallit Nunaat (Greenland), Spain"
zinc,Hydrothermal,2,United States
"Zinc, Copper",Hydrothermal,2,"Saudi Arabia, Turkey"
"Zinc, Copper, Gold",Hydrothermal,1,Saudi Arabia
"Zinc, Copper, Gold, Silver",Hydrothermal,1,Saudi Arabia
"Zinc, copper, gold, silver",Hydrothermal,1,Canada
"Zinc, Copper, Lead, Silver, Gold",Hydrothermal,1,Zimbabwe
"Zinc, Copper, Silver",Hydrothermal,1,Turkey
"Zinc, Copper, Silver, Gold",Hydrothermal,2,"Eritrea, South Africa"
"Zinc, gold, lead, silver",Hydrothermal,1,Canada
"Zinc, Lead",Hydrothermal,4,"Iran, South Africa, Tunisia"
"Zinc, lead",Hydrothermal,4,"Canada, Peru"
"zinc, lead",Hydrothermal,3,United States
"Zinc, Lead, Copper",Hydrothermal,1,Namibia
"Zinc, Lead, Copper, Silver, Cobalt, Gold",Hydrothermal,1,Algeria
"Zinc, Lead, Copper, Silver, Gold",Hydrothermal,1,South Africa
"Zinc, lead, copper, silver, gold",Hydrothermal,1,Mexico
"Zinc, lead, gold, silver",Hydrothermal,1,Canada
"Zinc, Lead, Silver",Hydrothermal,2,"South Africa, Yemen"
"Zinc, lead, silver",Hydrothermal,5,Canada
"zinc, lead, silver",Hydrothermal,2,United States
"Zinc, lead, silver, copper",Hydrothermal,2,Canada
"Zinc, lead, silver, gold",Hydrothermal,1,Mexico
"Zinc, lead, silver, gold, copper",Hydrothermal,2,Canada
"Zinc, Lead, Vanadium",Hydrothermal,1,Namibia
"Zinc, Silver",Hydrothermal,1,Burkina Faso
"Zinc, silver, copper, lead",Hydrothermal,3,Canada
"zinc, silver, copper, lead",Hydrothermal,1,United States
Zinc-copper,Hydrothermal,1,China
Zinc-copper-lead- silver,Hydrothermal,1,Japan
Zinc-copper-lead-silver,Hydrothermal,2,Japan
Zinc-copper-lead-sulfur,Hydrothermal,1,Australia
Zinc-lead,Hydrothermal,4,"Australia, India"
Zinc-lead-copper,Hydrothermal,3,"China, Japan"
Zinc-lead-copper-silver,Hydrothermal,1,Japan
Zinc-lead-silver,Hydrothermal,4,"Australia, Pakistan"
Zinc-lead-silver,Metamorphic,2,Japan
Zinc-lead-silver,Unclassified,1,Mongolia
Zinc-lead-tin-silver,Igneous,1,Mongolia
Zircon,Gemstone,1,Cambodia
Zirconium,Hydrothermal,1,Russia
Zirconium,Igneous,5,"Kalaallit Nunaat (Greenland), Kazakhstan"
Zirconium,Surficial,2,South Africa
Zirconium and Hafnium,Coastal placer or paleoplacer,13,"Australia, Brazil, India, United States of America"
Zirconium and Hafnium,Igneous,1,Russia
Zirconium and Hafnium,Oil sands,1,Canada
Zirconium and Hafnium; Titanium,Coastal placer or paleoplacer,2,"Australia, Sri Lanka"
Zirconium and Hafnium; Titanium,Coastal placer or paleoplacer; Sedimentary related,2,"Kenya, South Africa"
"Zirconium, Titanium",Surficial,1,South Africa
Zirconium-tantalum-REE,Igneous,1,Mongolia
